Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
869.9999616,,,s,17.21868575,0.774968518,0.774968518,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
940.000032,,,s,16.74942876,0.753848474,0.753848474,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
974.9999808,,,s,14.5881426,0.656574573,0.656574573,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
2069.999971,,,s,3.49945167,0.15750127,0.15750127,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
434.9999808,,,s,63.09573445,3.93957103,3.93957103,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
578.000016,,,s,46.55860935,2.907026128,2.907026128,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
661.9999968,,,s,34.04081897,2.125440419,2.125440419,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
742.9999968,,,s,25.82260191,1.612311439,1.612311439,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
130.000032,,,s,1853.531623,67.04404856,67.04404856,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
146.000016,,,s,1330.454418,48.12383532,48.12383532,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
161.0000064,,,s,1086.425624,48.8972078,48.8972078,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
210.0000384,,,s,654.6361741,35.19509899,35.19509899,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
220.999968,,,s,469.8941086,33.37827637,33.37827637,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
240.0000192,,,s,424.6195639,22.8287531,22.8287531,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
288.9999648,,,s,322.1068791,20.11170709,20.11170709,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
304.0000416,,,s,205.1162179,9.231750532,9.231750532,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
320.0000256,,,s,181.9700859,11.36184696,11.36184696,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
378,,,s,111.6863248,6.004573857,6.004573857,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
416.000016,,,s,84.72274141,3.813151496,3.813151496,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
448.9999776,,,s,81.65823714,5.098576445,5.098576445,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1256.99999,,,s,9.638290236,0.684642581,0.684642581,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1323,,,s,8.016780634,0.569460895,0.569460895,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1388.000016,,,s,7.726805851,0.548862938,0.548862938,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1453.000032,,,s,6.486344335,0.51599147,0.51599147,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1517.999962,,,s,5.10505,0.406108914,0.406108914,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
3028.999968,,,s,1.584893192,0.266636454,0.266636454,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
788.9999616,,,s,29.10717118,1.052834801,1.052834801,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
1670.000026,,,s,5.597576015,0.445289569,0.445289569,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
844.0000416,,,s,25.82260191,1.834272716,1.834272716,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
933.999984,,,s,26.54605562,1.657482437,1.657482437,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
0.9911,,,d,0.41,0.12,0.12,mJy,Spectral Flux,9.70E+10,,,Hz,W,
7.9911,,,d,0.2,0.09,0.09,mJy,Spectral Flux,9.70E+10,,,Hz,W,
82.1036,,,s,1.22E-07,1.35E-08,1.35E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
82.8992,,,s,1.14E-07,1.28E-08,1.28E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
83.664,,,s,1.37E-07,1.55E-08,1.55E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
84.329,,,s,1.34E-07,1.47E-08,1.47E-08,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
