Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
189.2292,,,s,3.57E-08,5.05E-09,5.05E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
190.1483,,,s,4.56E-08,5.08E-09,5.08E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
191.0392,,,s,3.78E-08,4.51E-09,4.51E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
191.9466,,,s,3.01E-08,3.97E-09,3.97E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
192.9141,,,s,3.06E-08,4.34E-09,4.34E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
193.7237,,,s,3.68E-08,4.91E-09,4.91E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
194.5963,,,s,3.15E-08,4.13E-09,4.13E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
195.3959,,,s,3.81E-08,4.85E-09,4.85E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
196.25,,,s,3.53E-08,4.76E-09,4.76E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
197.0174,,,s,3.72E-08,4.67E-09,4.67E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
197.8749,,,s,3.43E-08,4.75E-09,4.75E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
198.6926,,,s,3.26E-08,4.50E-09,4.50E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
199.6746,,,s,2.81E-08,3.80E-09,3.80E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
200.677,,,s,2.55E-08,3.30E-09,3.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
201.6237,,,s,3.53E-08,4.73E-09,4.73E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
202.538,,,s,3.26E-08,4.49E-09,4.49E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
203.3111,,,s,4.21E-08,4.85E-09,4.85E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
204.3855,,,s,3.08E-08,4.08E-09,4.08E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
205.2469,,,s,3.53E-08,4.59E-09,4.59E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
206.0898,,,s,3.29E-08,4.56E-09,4.56E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
206.9415,,,s,3.22E-08,4.37E-09,4.37E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
207.7472,,,s,3.42E-08,4.53E-09,4.53E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
208.737,,,s,2.62E-08,3.46E-09,3.46E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
209.6553,,,s,3.48E-08,4.58E-09,4.58E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
210.59,,,s,2.58E-08,3.44E-09,3.44E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
211.6216,,,s,3.19E-08,4.30E-09,4.30E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
212.4756,,,s,3.80E-08,4.49E-09,4.49E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
213.3724,,,s,3.53E-08,4.54E-09,4.54E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
214.2507,,,s,3.10E-08,4.11E-09,4.11E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
215.242,,,s,2.73E-08,3.58E-09,3.58E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
216.1525,,,s,3.66E-08,4.83E-09,4.83E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
217.0165,,,s,2.88E-08,3.87E-09,3.87E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
218.168,,,s,2.38E-08,3.04E-09,3.04E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
219.1716,,,s,3.33E-08,4.28E-09,4.28E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
220.0672,,,s,3.17E-08,4.25E-09,4.25E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
221.06,,,s,2.32E-08,3.26E-09,3.26E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
222.1338,,,s,2.95E-08,3.93E-09,3.93E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
223.402,,,s,2.04E-08,2.73E-09,2.73E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
224.4708,,,s,2.89E-08,3.94E-09,3.94E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
225.623,,,s,2.24E-08,2.96E-09,2.96E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
226.72,,,s,2.86E-08,3.70E-09,3.70E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
227.744,,,s,2.67E-08,3.52E-09,3.52E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
228.898,,,s,2.32E-08,3.31E-09,3.31E-09,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
