Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,,,,,,,,,,,,,,,
323.157,s,1.82E-09,3.51E-10,3.51E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
325.35,s,1.34E-09,2.55E-10,2.55E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
328.219,s,1.90E-09,3.56E-10,3.56E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
329.822,s,2.11E-09,3.90E-10,3.90E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
332.078,s,1.58E-09,2.97E-10,2.97E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
334.41,s,1.47E-09,2.84E-10,2.84E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
336.725,s,1.92E-09,3.63E-10,3.63E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
339.056,s,1.39E-09,2.74E-10,2.74E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
341.411,s,1.83E-09,3.52E-10,3.52E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
343.758,s,1.47E-09,2.88E-10,2.88E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
346.336,s,1.46E-09,2.82E-10,2.82E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
349.044,s,1.35E-09,2.56E-10,2.56E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
351.887,s,1.54E-09,2.91E-10,2.91E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
354.564,s,1.30E-09,2.56E-10,2.56E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
357.186,s,1.54E-09,2.95E-10,2.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
359.995,s,1.37E-09,2.59E-10,2.59E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
362.322,s,1.79E-09,3.40E-10,3.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
364.67,s,1.48E-09,2.75E-10,2.75E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
366.984,s,1.77E-09,3.32E-10,3.32E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
368.665,s,2.30E-09,4.24E-10,4.24E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
371.141,s,1.39E-09,2.60E-10,2.60E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
373.398,s,1.99E-09,3.75E-10,3.75E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
375.42,s,1.64E-09,3.09E-10,3.09E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
377.891,s,1.35E-09,2.65E-10,2.65E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
380.836,s,1.41E-09,2.66E-10,2.66E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
383.508,s,1.22E-09,2.40E-10,2.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
386.048,s,1.81E-09,3.40E-10,3.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
388.815,s,1.21E-09,2.31E-10,2.31E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
391.449,s,1.49E-09,2.82E-10,2.82E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
394.191,s,1.26E-09,2.40E-10,2.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
397.26,s,1.54E-09,2.95E-10,2.95E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,,slop_other,,,,,,,,,,,,,,,
